player_id,player_name,age,nationality,club,position,overall_rating,potential_rating,matches_played,goals,assists,minutes_played,market_value_million_eur,contract_years_left,injury_prone,transfer_risk_level,position_group,goal_contribution,performance_score,age_group,experienced
116,Player_116,39,France,PSG,CB,92,82,14,32,11,1946,32.97,1,Yes,High,defender,43,0.0986639260020555,veteran,False
117,Player_117,21,England,Bayern Munich,RB,90,68,43,35,21,616,82.69,1,Yes,Medium,defender,56,0.34415584415584416,young,False
118,Player_118,19,Netherlands,Bayern Munich,RW,71,94,50,23,6,1869,91.6,0,No,Low,winger,29,0.07330123060460139,young,False
119,Player_119,28,Portugal,Juventus,RB,70,88,21,9,9,300,19.32,1,Yes,Low,defender,18,0.44,prime,False
120,Player_120,24,Netherlands,Manchester City,RB,83,84,27,33,24,984,6.58,3,Yes,Low,defender,57,0.20884146341463414,prime,False
121,Player_121,38,Portugal,Manchester City,CDM,67,95,41,35,23,3691,135.14,4,Yes,Low,midfielder,58,0.05296667569764291,veteran,False
122,Player_122,19,Spain,Real Madrid,RB,91,88,37,35,21,3426,96.48,3,No,Low,defender,56,0.06231757151196731,young,False
123,Player_123,17,Argentina,Real Madrid,CB,81,71,8,15,19,160,60.14,5,No,High,defender,34,1.090625,young,False
124,Player_124,19,Argentina,Bayern Munich,CDM,93,90,33,14,9,25,78.98,3,Yes,High,midfielder,23,4.42,young,False
125,Player_125,21,England,Manchester City,GK,78,77,35,17,24,82,172.41,4,No,Medium,goalkeeper,41,2.2829268292682925,young,False
126,Player_126,31,Netherlands,FC Barcelona,LB,79,72,8,6,22,172,69.59,5,No,Medium,defender,28,0.9796511627906976,veteran,False
127,Player_127,30,Netherlands,PSG,RB,73,69,14,21,4,998,19.07,3,Yes,Medium,defender,25,0.13877755511022044,veteran,False
128,Player_128,19,Germany,Manchester City,ST,92,77,44,31,17,3141,83.72,3,Yes,Low,attacker,48,0.07035975803884113,young,False
129,Player_129,17,Brazil,Juventus,LW,69,93,19,18,8,2882,116.82,5,Yes,High,winger,26,0.04354614850798057,young,False
130,Player_130,21,Spain,Manchester City,RB,75,84,7,39,15,4101,2.67,3,No,Low,defender,54,0.04425749817117776,young,False
131,Player_131,39,Argentina,Liverpool,GK,63,78,27,0,6,2843,60.16,1,No,Medium,goalkeeper,6,0.05318325712275765,veteran,False
132,Player_132,30,Spain,Real Madrid,CM,86,96,50,34,24,2110,71.14,4,Yes,Low,midfielder,58,0.0981042654028436,veteran,False
133,Player_133,23,Argentina,Juventus,GK,87,91,18,4,24,3084,83.74,4,Yes,High,goalkeeper,28,0.06770428015564202,prime,False
134,Player_134,25,Spain,PSG,CM,75,89,15,11,9,2045,54.65,4,No,Medium,midfielder,20,0.04669926650366748,prime,False
135,Player_135,31,France,Bayern Munich,GK,92,68,10,11,4,760,120.21,3,No,Medium,goalkeeper,15,0.2905263157894737,veteran,False
136,Player_136,31,Portugal,Juventus,LB,78,85,41,20,6,204,170.08,1,No,Low,defender,26,0.7303921568627451,veteran,False
137,Player_137,26,Argentina,Manchester City,LW,80,82,7,18,4,3102,164.56,4,No,Low,winger,22,0.037717601547388784,prime,False
138,Player_138,29,Spain,Bayern Munich,GK,81,79,32,8,14,2035,119.76,2,No,Medium,goalkeeper,22,0.09552825552825553,prime,False
139,Player_139,35,Netherlands,Manchester City,CM,68,88,9,35,18,1552,91.49,4,Yes,Low,midfielder,53,0.1134020618556701,veteran,False
140,Player_140,23,Brazil,Bayern Munich,RB,68,72,17,31,9,824,148.73,0,No,High,defender,40,0.18325242718446602,prime,False
141,Player_141,33,France,PSG,LB,68,92,34,34,7,2956,150.55,2,Yes,High,defender,41,0.05074424898511502,veteran,False
142,Player_142,36,France,Real Madrid,LB,86,85,42,30,23,3748,149.41,4,Yes,Medium,defender,53,0.054695837780149414,veteran,False
143,Player_143,20,Brazil,PSG,RB,76,80,49,31,8,2445,28.83,3,No,Low,defender,39,0.06584867075664622,young,False
144,Player_144,21,Spain,Liverpool,ST,67,80,2,36,10,3896,5.07,4,No,High,attacker,46,0.05325975359342916,young,False
145,Player_145,39,Netherlands,FC Barcelona,CDM,75,81,39,31,21,838,176.98,1,No,Low,midfielder,52,0.21897374701670644,veteran,False
146,Player_146,23,England,Real Madrid,LW,77,73,26,36,1,3683,172.76,1,Yes,Low,winger,37,0.0456149877816997,prime,False
147,Player_147,29,Brazil,PSG,LW,92,93,27,38,2,1961,101.81,4,No,Low,winger,40,0.09484956654767976,prime,False
148,Player_148,31,Spain,Liverpool,ST,60,82,45,37,12,937,178.75,3,No,Low,attacker,49,0.22838847385272146,veteran,False
149,Player_149,27,Brazil,FC Barcelona,CDM,71,76,5,29,10,2931,138.81,3,No,Medium,midfielder,39,0.045547594677584444,prime,False
150,Player_150,20,Brazil,Liverpool,LW,65,83,46,31,9,424,93.37,3,No,Low,winger,40,0.4068396226415094,young,False
151,Player_151,29,Argentina,Manchester City,CM,64,86,13,1,14,3310,70.38,4,Yes,Medium,midfielder,15,0.027190332326283987,prime,False
152,Player_152,23,Spain,Manchester City,RW,75,79,6,10,5,3051,106.92,4,No,Medium,winger,15,0.029498525073746312,prime,False
153,Player_153,35,England,Bayern Munich,RW,77,65,9,19,0,2905,93.09,0,No,Medium,winger,19,0.03614457831325301,veteran,False
154,Player_154,38,Portugal,Real Madrid,LW,77,66,14,36,13,2137,178.89,1,No,Low,winger,49,0.0982686008423023,veteran,False
155,Player_155,18,Argentina,Manchester City,CB,60,72,30,8,17,4046,88.54,2,No,High,defender,25,0.03262481463173505,young,False
156,Player_156,26,Brazil,Juventus,LW,78,86,28,37,23,3210,150.55,2,No,Medium,winger,60,0.07757009345794393,prime,False
157,Player_157,29,Portugal,Liverpool,RB,67,89,41,18,10,2694,146.55,1,No,Low,defender,28,0.0514105419450631,prime,False
158,Player_158,37,Germany,Real Madrid,RB,62,66,53,39,7,3595,13.32,5,No,Medium,defender,46,0.040611961057023645,veteran,False
159,Player_159,22,Portugal,Juventus,CDM,84,73,16,6,21,1267,16.12,0,No,Low,midfielder,27,0.10891870560378848,young,False
160,Player_160,28,Brazil,Manchester City,LB,64,73,50,4,2,3576,118.94,1,No,Low,defender,6,0.029082774049217,prime,False
161,Player_161,28,Brazil,Bayern Munich,CM,78,77,28,23,13,421,47.01,0,No,High,midfielder,36,0.3254156769596199,prime,False
162,Player_162,36,Netherlands,PSG,ST,77,70,48,6,1,3266,118.53,5,No,Low,attacker,7,0.02005511328842621,veteran,False
163,Player_163,27,Spain,Bayern Munich,LW,90,94,43,10,15,1657,26.46,0,No,Medium,winger,25,0.07996378998189499,prime,False
164,Player_164,39,Spain,Juventus,CM,92,79,14,8,5,2100,71.77,3,Yes,Low,midfielder,13,0.039047619047619046,veteran,False
165,Player_165,23,Argentina,FC Barcelona,ST,77,79,25,29,0,3939,18.89,1,No,High,attacker,29,0.039223153084539226,prime,False
166,Player_166,17,England,Manchester City,RB,75,71,11,2,13,684,51.14,2,Yes,Low,defender,15,0.2054093567251462,young,False
167,Player_167,17,Argentina,Juventus,GK,75,75,24,21,9,2226,16.35,4,No,Low,goalkeeper,30,0.08086253369272237,young,False
168,Player_168,36,France,FC Barcelona,CM,66,66,40,39,5,4388,174.72,5,No,Medium,midfielder,44,0.029854147675478577,veteran,False
169,Player_169,29,Brazil,FC Barcelona,RW,73,74,4,19,8,2422,71.41,5,No,Medium,winger,27,0.05408753096614368,prime,False
170,Player_170,25,Portugal,Liverpool,LW,84,81,3,31,6,1077,162.26,4,No,Medium,winger,37,0.15923862581244197,prime,False
171,Player_171,19,Germany,Real Madrid,CDM,91,71,43,6,24,3985,174.83,1,No,Medium,midfielder,30,0.038519447929736515,young,False
172,Player_172,23,Brazil,Liverpool,RW,81,68,47,6,1,3840,163.77,4,No,Low,winger,7,0.016927083333333332,prime,False
173,Player_173,22,Brazil,Manchester City,LB,75,95,40,19,10,3316,82.17,0,No,Low,defender,29,0.045687575392038604,young,False
174,Player_174,24,Argentina,FC Barcelona,CB,88,89,30,24,13,2843,140.31,4,No,Medium,defender,37,0.06401688357368976,prime,False
175,Player_175,25,Germany,Juventus,ST,75,77,2,34,4,3439,28.09,0,Yes,Medium,attacker,38,0.0539400988659494,prime,False
176,Player_176,21,Germany,PSG,RB,71,82,52,23,8,4111,17.52,0,No,Low,defender,31,0.03539284845536366,young,False
177,Player_177,17,Germany,FC Barcelona,LW,76,85,2,39,6,4271,157.9,2,Yes,Medium,winger,45,0.04577382346054788,young,False
178,Player_178,35,Argentina,Juventus,CDM,86,65,25,12,24,1903,6.09,4,No,High,midfielder,36,0.08565423016290068,veteran,False
179,Player_179,26,Brazil,PSG,GK,84,72,49,38,13,4224,175.03,2,No,Medium,goalkeeper,51,0.04772727272727273,prime,False
180,Player_180,28,Argentina,Liverpool,RB,72,85,16,3,15,3294,121.15,4,No,Low,defender,18,0.042805100182149364,prime,False
181,Player_181,31,Spain,Liverpool,LW,67,85,9,11,21,425,75.82,0,No,Medium,winger,32,0.3423529411764706,veteran,False
182,Player_182,38,Spain,Real Madrid,GK,64,91,1,16,15,2401,25.88,4,No,Low,goalkeeper,31,0.06397334443981674,veteran,False
183,Player_183,25,Argentina,Juventus,CDM,71,83,23,0,6,749,130.32,5,No,Low,midfielder,6,0.0794392523364486,prime,False
184,Player_184,36,Germany,FC Barcelona,CB,62,87,10,16,9,43,101.58,5,No,Medium,defender,25,2.953488372093023,veteran,False
185,Player_185,33,Netherlands,Bayern Munich,RW,94,69,23,1,20,1559,128.15,2,No,Low,winger,21,0.07729313662604234,veteran,False
186,Player_186,33,Brazil,Liverpool,RW,92,72,34,5,5,4194,75.52,3,No,Low,winger,10,0.019313304721030045,veteran,False
187,Player_187,36,Argentina,Liverpool,RB,81,75,22,10,16,3468,12.39,5,No,Low,defender,26,0.047145328719723184,veteran,False
188,Player_188,28,Argentina,Real Madrid,LW,68,80,31,17,0,3951,57.04,2,No,Low,winger,17,0.02366489496330043,prime,False
189,Player_189,23,Argentina,PSG,LW,77,88,22,39,1,4266,57.05,3,No,Low,winger,40,0.04184247538677918,prime,False
190,Player_190,18,Netherlands,Real Madrid,CDM,88,85,33,24,13,147,2.06,1,No,Low,midfielder,37,0.9795918367346939,young,False
191,Player_191,19,Netherlands,FC Barcelona,CB,86,87,40,38,3,2170,2.22,2,No,Low,defender,41,0.07972350230414746,young,False
192,Player_192,33,France,Juventus,LW,76,72,18,27,8,111,59.87,5,No,Low,winger,35,1.445945945945946,veteran,False
193,Player_193,21,Spain,Manchester City,CDM,93,71,1,15,22,4163,131.11,5,No,High,midfielder,37,0.039514773000240214,young,False
194,Player_194,33,Portugal,Manchester City,LB,62,66,50,11,5,827,112.52,4,Yes,Medium,defender,16,0.13784764207980654,veteran,False
195,Player_195,33,Germany,Juventus,RB,64,94,1,28,16,1752,43.4,3,No,Low,defender,44,0.08904109589041095,veteran,False
196,Player_196,33,England,PSG,LB,73,77,14,22,20,2939,108.7,5,Yes,High,defender,42,0.05835318135420211,veteran,False
197,Player_197,18,Netherlands,Liverpool,RB,62,87,20,20,10,3728,116.7,4,No,Low,defender,30,0.03567596566523605,young,False
198,Player_198,18,Portugal,PSG,GK,82,93,34,15,3,3616,94.3,3,No,Medium,goalkeeper,18,0.05442477876106194,young,False
199,Player_199,38,Netherlands,Liverpool,CDM,89,84,4,25,20,3723,94.08,2,No,Low,midfielder,45,0.04687080311576686,veteran,False
200,Player_200,39,Germany,Liverpool,CDM,82,97,42,36,8,2277,66.87,2,No,High,midfielder,44,0.06368028107158542,veteran,False
201,Player_201,21,England,Manchester City,CM,86,93,26,21,15,159,22.65,4,Yes,Low,midfielder,36,0.9119496855345912,young,False
202,Player_202,17,France,PSG,GK,69,79,23,9,2,3365,69.69,2,No,Low,goalkeeper,11,0.04921248142644873,young,False
203,Player_203,17,Argentina,Real Madrid,CDM,84,87,6,6,3,2233,62.49,4,No,Low,midfielder,9,0.029556650246305417,young,False
204,Player_204,35,France,Liverpool,LW,72,67,5,8,23,1013,106.76,0,Yes,High,winger,31,0.14264560710760119,veteran,False
205,Player_205,18,Netherlands,Bayern Munich,RB,75,93,45,24,2,551,154.2,3,Yes,Low,defender,26,0.25499092558983666,young,False
206,Player_206,37,France,Bayern Munich,LB,93,72,32,14,12,1175,67.88,4,Yes,Low,defender,26,0.15106382978723404,veteran,False
